"id","number","capa","orden_geoserver","file_name","rule_name","rule_desc","filter","tipoFiltro","predicados","valores","min_scale_denom","max_scale_denom","max_zoom","min_zoom","symbolizer","PointSymbolizer","LineSymbolizer","PolygonSymbolizer","TextSymbolizer"
1,11,"argenmap:ne_10m_bathymetry_l_0","1","batimetria_gris_0.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#CCCCCC</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#CCCCCC</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
1,12,"argenmap:ne_10m_bathymetry_l_0","1","batimetria_gris_0.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#CCCCCC</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#CCCCCC</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
1,13,"argenmap:ne_10m_bathymetry_l_0","1","batimetria_gris_0.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#CCCCCC</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#CCCCCC</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
1,14,"argenmap:ne_10m_bathymetry_l_0","1","batimetria_gris_0.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#CCCCCC</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#CCCCCC</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
1,15,"argenmap:ne_10m_bathymetry_l_0","1","batimetria_gris_0.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#CCCCCC</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#CCCCCC</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
1,16,"argenmap:ne_10m_bathymetry_l_0","1","batimetria_gris_0.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#CCCCCC</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#CCCCCC</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
1,17,"argenmap:ne_10m_bathymetry_l_0","1","batimetria_gris_0.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#CCCCCC</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#CCCCCC</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
1,18,"argenmap:ne_10m_bathymetry_l_0","1","batimetria_gris_0.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#CCCCCC</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#CCCCCC</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
1,19,"argenmap:ne_10m_bathymetry_l_0","1","batimetria_gris_0.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#CCCCCC</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#CCCCCC</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
2,1,"argenmap:ne_10m_bathymetry_k_200","2","batimetria_gris_200.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#C9C9C9</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#C9C9C9</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
